date,state,district,pincode,bio_age_5_17,bio_age_17_
02-07-2025,Daman and Diu,Daman,396220,1,2
02-07-2025,Daman and Diu,Diu,362570,3,1
26-06-2025,Daman and Diu,Daman,396215,0,1
10-07-2025,Daman and Diu,Daman,396210,2,12
10-07-2025,Daman and Diu,Diu,362570,0,3
13-08-2025,Daman and Diu,Daman,396210,4,8
13-08-2025,Daman and Diu,Daman,396220,3,0
13-08-2025,Daman and Diu,Diu,362570,8,4
12-08-2025,Daman and Diu,Daman,396210,9,5
12-08-2025,Daman and Diu,Diu,362570,5,6
21-08-2025,Daman and Diu,Diu,362570,1,4
26-08-2025,Daman and Diu,Diu,362520,1,2
25-08-2025,Daman and Diu,Diu,362520,0,1
25-08-2025,Daman and Diu,Diu,362570,1,5
10-08-2025,Daman and Diu,Daman,396215,1,1
08-08-2025,Daman and Diu,Daman,396210,10,6
18-08-2025,Daman and Diu,Diu,362540,0,1
18-08-2025,Daman and Diu,Diu,362570,0,2
19-08-2025,Daman and Diu,Diu,362570,1,0
23-08-2025,Daman and Diu,Daman,396210,8,7
22-08-2025,Daman and Diu,Daman,396210,5,5
22-08-2025,Daman and Diu,Diu,362570,4,3
30-08-2025,Daman and Diu,Daman,396210,9,4
03-09-2025,Daman and Diu,Diu,362540,1,1
02-09-2025,Daman and Diu,Daman,396210,4,6
02-09-2025,Daman and Diu,Daman,396220,3,2
23-09-2025,Daman and Diu,Daman,396210,19,7
23-09-2025,Daman and Diu,Daman,396220,1,1
03-10-2025,Daman and Diu,Diu,362520,0,4
23-10-2025,Daman and Diu,Diu,362520,1,1
23-10-2025,Daman and Diu,Diu,362570,0,2
06-10-2025,Daman and Diu,Diu,362570,6,4
15-10-2025,Daman and Diu,Daman,396215,0,1
15-10-2025,Daman and Diu,Diu,362520,3,3
15-10-2025,Daman and Diu,Diu,362540,0,3
14-10-2025,Daman and Diu,Daman,396220,1,0
09-09-2025,Daman and Diu,Daman,396215,2,1
09-09-2025,Daman and Diu,Daman,396220,2,1
08-09-2025,Daman and Diu,Daman,396210,7,9
13-09-2025,Daman and Diu,Daman,396210,33,10
22-10-2025,Daman and Diu,Daman,396215,0,1
14-09-2025,Daman and Diu,Daman,396210,2,2
18-09-2025,Daman and Diu,Diu,362520,0,1
18-09-2025,Daman and Diu,Diu,362540,1,2
17-09-2025,Daman and Diu,Daman,396215,2,0
17-09-2025,Daman and Diu,Diu,362520,3,1
01-09-2025,Daman and Diu,Daman,396220,1,2
28-08-2025,Daman and Diu,Diu,362540,0,1
29-08-2025,Daman and Diu,Diu,362520,0,4
04-09-2025,Daman and Diu,Daman,396210,2,10
21-09-2025,Daman and Diu,Daman,396215,1,1
19-09-2025,Daman and Diu,Diu,362520,0,4
20-09-2025,Daman and Diu,Daman,396220,1,2
12-09-2025,Daman and Diu,Daman,396215,1,0
12-09-2025,Daman and Diu,Daman,396220,3,1
22-09-2025,Daman and Diu,Diu,362520,4,0
22-09-2025,Daman and Diu,Diu,362540,0,2
27-09-2025,Daman and Diu,Daman,396215,1,1
25-09-2025,Daman and Diu,Daman,396210,26,5
25-09-2025,Daman and Diu,Daman,396215,6,1
25-09-2025,Daman and Diu,Diu,362570,1,0
24-09-2025,Daman and Diu,Daman,396215,1,0
24-09-2025,Daman and Diu,Diu,362540,1,1
24-09-2025,Daman and Diu,Diu,362570,2,3
05-10-2025,Daman and Diu,Daman,396210,1,2
05-10-2025,Daman and Diu,Daman,396215,0,1
29-10-2025,Daman and Diu,Daman,396210,10,11
29-10-2025,Daman and Diu,Diu,362520,1,1
30-10-2025,Daman and Diu,Daman,396210,12,5
30-10-2025,Daman and Diu,Daman,396215,1,2
30-10-2025,Daman and Diu,Diu,362520,1,1
30-10-2025,Daman and Diu,Diu,362540,2,0
26-10-2025,Daman and Diu,Daman,396210,6,3
27-10-2025,Daman and Diu,Daman,396215,0,1
27-10-2025,Daman and Diu,Diu,362570,0,1
01-11-2025,Daman and Diu,Daman,396220,2,0
15-12-2025,Daman and Diu,Daman,396220,1,2
15-12-2025,Daman and Diu,Diu,362570,1,1
17-12-2025,Daman and Diu,Daman,396210,9,17
16-12-2025,Daman and Diu,Diu,362540,2,5
18-12-2025,Daman and Diu,Daman,396210,12,13
18-12-2025,Daman and Diu,Daman,396220,3,2
29-11-2025,Daman and Diu,Daman,396220,0,1
04-12-2025,Daman and Diu,Daman,396210,7,9
04-12-2025,Daman and Diu,Daman,396220,1,9
04-12-2025,Daman and Diu,Diu,362570,7,1
08-12-2025,Daman and Diu,Daman,396210,8,5
09-10-2025,Daman and Diu,Diu,362570,0,8
10-10-2025,Daman and Diu,Diu,362570,2,3
11-10-2025,Daman and Diu,Daman,396215,1,0
25-10-2025,Daman and Diu,Daman,396215,0,2
25-10-2025,Daman and Diu,Daman,396220,3,0
09-11-2025,Daman and Diu,Daman,396210,1,2
19-11-2025,Daman and Diu,Daman,396220,4,2
20-11-2025,Daman and Diu,Daman,396210,10,4
15-11-2025,Daman and Diu,Daman,396210,10,3
15-11-2025,Daman and Diu,Daman,396220,1,0
14-11-2025,Daman and Diu,Diu,362540,29,0
14-11-2025,Daman and Diu,Diu,362570,21,0
17-11-2025,Daman and Diu,Diu,362570,15,1
28-11-2025,Daman and Diu,Daman,396215,0,1
28-11-2025,Daman and Diu,Diu,362540,3,2
02-11-2025,Daman and Diu,Daman,396215,1,0
03-11-2025,Daman and Diu,Diu,362520,14,4
07-11-2025,Daman and Diu,Daman,396210,5,8
07-11-2025,Daman and Diu,Diu,362570,1,1
06-11-2025,Daman and Diu,Daman,396210,5,4
06-11-2025,Daman and Diu,Daman,396215,5,2
11-11-2025,Daman and Diu,Daman,396215,1,0
11-11-2025,Daman and Diu,Diu,362540,13,0
21-11-2025,Daman and Diu,Daman,396215,1,1
24-11-2025,Daman and Diu,Diu,362570,1,3
26-11-2025,Daman and Diu,Daman,396220,0,2
10-12-2025,Daman and Diu,Diu,362520,0,1
01-12-2025,Daman and Diu,Daman,396210,11,11
02-12-2025,Daman and Diu,Diu,362570,14,2
09-12-2025,Daman and Diu,Daman,396210,5,8
09-12-2025,Daman and Diu,Daman,396215,1,2
09-12-2025,Daman and Diu,Diu,362520,1,0
09-12-2025,Daman and Diu,Diu,362540,4,2
13-12-2025,Daman and Diu,Diu,362520,0,1
23-12-2025,Daman and Diu,Daman,396220,2,1
25-12-2025,Daman and Diu,Daman,396215,1,1
24-12-2025,Daman and Diu,Diu,362520,2,1
26-12-2025,Daman and Diu,Diu,362520,1,0
